lag,gaussian,bernoulli,average
lag 200,210.2770486,214.2082157,212.2426321
lag 201,218.7434551,213.7167411,216.2300981
lag 202,214.7496904,217.8233798,216.2865351
lag 203,212.3965651,222.0026088,217.199587
lag 204,218.4156253,221.3947968,219.905211
lag 205,219.8488288,218.2126688,219.0307488
lag 206,214.3339561,222.5344261,218.4341911
lag 207,208.8824699,220.2737635,214.5781167
lag 208,221.1752137,220.5377155,220.8564646
lag 209,219.2303656,209.2823214,214.2563435
lag 210,217.35749,217.7355097,217.5464998
lag 211,215.5781308,214.7839526,215.1810417
lag 212,223.3030496,219.0967582,221.1999039
lag 213,223.1817951,215.6843894,219.4330922
lag 214,218.5208806,220.41176,219.4663203
lag 215,207.5742948,211.5045579,209.5394264
lag 216,222.7502178,218.614014,220.6821159
lag 217,216.732217,215.0508418,215.8915294
lag 218,220.9285593,216.0453956,218.4869774
lag 219,220.7411041,211.5477534,216.1444288
lag 220,222.0057612,215.1877998,218.5967805
lag 221,218.532269,215.4044661,216.9683676
lag 222,211.4311687,219.7888326,215.6100006
lag 223,222.2357312,210.6809166,216.4583239
lag 224,217.7888479,216.0698269,216.9293374
lag 225,212.0007339,219.1785556,215.5896447
lag 226,219.9745976,223.2187837,221.5966907
lag 227,216.640401,213.857927,215.249164
lag 228,222.893954,221.1191021,222.0065281
lag 229,217.2710388,215.8955343,216.5832865
lag 230,211.2776063,213.0461974,212.1619019
lag 231,212.8708236,219.2118628,216.0413432
lag 232,209.5363795,212.34623,210.9413048
lag 233,208.7350126,207.6756733,208.2053429
lag 234,215.2705261,213.0342508,214.1523884
lag 235,212.2310408,220.6133072,216.422174
lag 236,223.7495282,212.9074334,218.3284808
lag 237,215.0106999,208.9443126,211.9775062
lag 238,208.4796451,218.8489119,213.6642785
lag 239,210.1461521,216.1109813,213.1285667
lag 240,218.2542038,219.0638412,218.6590225
lag 241,212.3243119,216.8337982,214.5790551
lag 242,208.2294006,214.4221417,211.3257712
lag 243,214.3098001,211.6708967,212.9903484
lag 244,211.9349041,218.7431966,215.3390504
lag 245,215.5545017,216.5922128,216.0733572
lag 246,217.4488564,219.090776,218.2698162
lag 247,209.8889276,213.3126152,211.6007714
lag 248,213.6807528,211.8795413,212.780147
lag 249,218.6077899,207.4408387,213.0243143
lag 250,211.7820033,217.5556117,214.6688075
lag 251,216.9511221,223.2935347,220.1223284
lag 252,210.4593367,212.6807929,211.5700648
lag 253,207.7665791,212.1204793,209.9435292
lag 254,212.5393385,209.6180179,211.0786782
lag 255,208.250043,209.374571,208.812307
lag 256,209.8668373,216.6874454,213.2771414
lag 257,209.0458527,212.3733898,210.7096213
lag 258,208.1947707,209.3492959,208.7720333
lag 259,216.9850853,213.1030597,215.0440725
lag 260,215.0670697,198.3225226,206.6947962
lag 261,218.0751992,210.0410304,214.0581148
lag 262,211.4490406,213.1029888,212.2760147
lag 263,209.5672438,220.3329849,214.9501144
lag 264,210.0773463,208.0110445,209.0441954
lag 265,207.319526,210.3642661,208.841896
lag 266,209.008698,209.5174683,209.2630832
lag 267,211.653293,207.8234579,209.7383755
lag 268,213.8726966,203.6378683,208.7552825
lag 269,212.0635176,219.0422752,215.5528964
lag 270,210.7620968,214.6959558,212.7290263
lag 271,218.7526901,211.6368147,215.1947524
lag 272,205.7545798,216.7744549,211.2645173
lag 273,204.5432871,216.5677133,210.5555002
lag 274,208.7477042,208.8926168,208.8201605
lag 275,214.3375723,212.6332331,213.4854027
lag 276,208.9871482,208.3914045,208.6892763
lag 277,209.5845017,213.6105245,211.5975131
lag 278,206.5301065,211.1616332,208.8458699
lag 279,204.7688479,216.9650035,210.8669257
lag 280,219.6813366,212.526457,216.1038968
lag 281,212.5337342,216.9796578,214.756696
lag 282,212.7255352,207.0344319,209.8799836
lag 283,209.827156,207.1328096,208.4799828
lag 284,208.8240105,215.5822579,212.2031342
lag 285,208.937952,205.1930736,207.0655128
lag 286,203.7162499,207.4067231,205.5614865
lag 287,209.2443152,205.841089,207.5427021
lag 288,215.851092,211.5161051,213.6835986
lag 289,211.9608065,207.5895481,209.7751773
lag 290,204.3715107,215.2884445,209.8299776
lag 291,209.4221826,202.8640421,206.1431123
lag 292,212.4315785,208.9518128,210.6916957
lag 293,203.5755974,205.8655058,204.7205516
lag 294,213.1554538,214.7494584,213.9524561
lag 295,212.5510999,209.1213048,210.8362023
lag 296,205.7926795,209.8770762,207.8348778
lag 297,212.3412038,203.8262943,208.083749
lag 298,210.1415813,207.1269109,208.6342461
lag 299,201.3931751,213.5318147,207.4624949
lag 300,211.2158323,208.7028205,209.9593264
