lag,gaussian,bernoulli,average
lag 40,250.45141994154272,253.54932569582633,252.00037281868453
lag 41,251.55984346546887,251.8801945884764,251.72001902697264
lag 42,256.18902598783643,253.69133215250153,254.940179070169
lag 43,251.83088202895178,253.16600135769764,252.4984416933247
lag 44,251.29581709019803,255.35720166034145,253.32650937526972
lag 45,257.8514164738696,251.8147125071814,254.83306449052552
lag 46,252.94794994148532,252.56306800325086,252.7555089723681
lag 47,245.28734022872487,253.30268808947454,249.2950141590997
lag 48,250.6209470417325,252.4736345704062,251.54729080606936
lag 49,251.69183366417337,251.36845843448518,251.5301460493293
lag 50,250.52266069293955,250.99522279741004,250.7589417451748
lag 51,250.84310528943712,248.7709146628136,249.80700997612536
lag 52,252.02074717010936,248.24384754206477,250.13229735608707
lag 53,251.0183232534655,249.89771974383635,250.4580214986509
lag 54,253.93682896338868,250.32312780963676,252.12997838651273
lag 55,248.68859544848647,251.98680324717617,250.33769934783132
lag 56,252.90025945092663,251.5845649794209,252.24241221517377
lag 57,249.12929089197632,250.10821954923523,249.61875522060578
lag 58,245.96524816727225,256.02220158068565,250.99372487397895
lag 59,249.7777262356638,252.6069341369248,251.1923301862943
lag 60,256.8829824140546,248.6007306680915,252.74185654107305
lag 61,249.89428179194647,249.49788090259275,249.69608134726963
lag 62,250.52072915343518,253.53613027069724,252.0284297120662
lag 63,254.40723125649583,246.66248649212275,250.5348588743093
lag 64,248.98824941996244,249.97351478559995,249.4808821027812
lag 65,245.0486798636473,249.60707907118916,247.32787946741823
lag 66,249.7841243331142,249.80136073599078,249.79274253455247
lag 67,247.2517881293942,248.95204595220758,248.1019170408009
lag 68,249.5123479452637,249.81434619322312,249.6633470692434
lag 69,249.6179959270459,250.2277716566993,249.9228837918726
lag 70,246.06080524460708,252.95698712279756,249.50889618370232
lag 71,251.62034632717732,251.78134240504625,251.70084436611177
lag 72,253.5481776616326,253.19213814070577,253.3701579011692
lag 73,246.95090887575316,249.3394867071027,248.14519779142793
lag 74,250.13490902321095,248.29400590242466,249.2144574628178
lag 75,252.28782679569457,249.6206895599409,250.95425817781774
lag 76,250.77513279284204,249.31463483096113,250.04488381190157
lag 77,250.26244162652338,249.91703795815982,250.08973979234162
lag 78,250.7344976347415,252.92791515901953,251.83120639688053
lag 79,248.91514224343936,249.28039322190108,249.0977677326702
lag 80,251.61188300260574,245.6896955402668,248.65078927143628
lag 81,252.52147276873438,252.09485050894187,252.30816163883813
lag 82,251.84821322545912,252.59245331604862,252.22033327075388
lag 83,252.394638993687,249.38890950572932,250.89177424970816
lag 84,251.21040224712047,250.08314728960877,250.64677476836462
lag 85,250.77385004134356,251.96559906347358,251.36972455240857
lag 86,249.56712555918247,250.73109802559574,250.1491117923891
lag 87,244.87523079993736,252.60864076578036,248.74193578285886
lag 88,253.40202687950304,251.65663206106245,252.52932947028273
lag 89,247.37652402095006,250.00896433670673,248.69274417882838
lag 90,247.8054576343342,248.7373912247752,248.2714244295547
lag 91,252.8965911454884,252.6065172883769,252.75155421693265
lag 92,251.03942552036278,252.57971999498668,251.80957275767474
lag 93,251.9945806317099,248.06037178138098,250.02747620654543
lag 94,251.5156945323919,250.55791762863214,251.036806080512
lag 95,251.375938114385,251.3882047963407,251.38207145536285
lag 96,248.15748205928313,249.3954956983347,248.77648887880892
lag 97,249.9451575571157,247.0378573478195,248.4915074524676
lag 98,249.22794575106076,247.81468234996078,248.52131405051077
lag 99,246.4934370092892,250.5662036813914,248.5298203453403
lag 100,251.10344503266688,247.40294784869556,249.25319644068122
lag 101,253.4157535012925,247.27136455519434,250.34355902824342
lag 102,257.12599583473747,248.21757375060525,252.67178479267136
lag 103,255.5009245647675,247.73269642183178,251.61681049329962
lag 104,247.8379380772954,248.82057299229183,248.32925553479362
lag 105,251.27438917877967,247.4731042322622,249.37374670552094
lag 106,253.4301037140609,251.38572729178546,252.40791550292317
lag 107,247.98033049896384,246.00484900023247,246.99258974959815
lag 108,247.4994071037582,249.0392214698114,248.26931428678478
lag 109,249.41796264165518,246.80688913748855,248.11242588957185
lag 110,247.5881948239051,250.99203061040345,249.29011271715427
