lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000,sample size 6000,sample size 7000,sample size 8000,sample size 9000,sample size 10000,sample size 11000,sample size 12000,sample size 13000,sample size 14000,sample size 15000,sample size 16000,sample size 17000,sample size 18000,sample size 19000,sample size 20000
lag 10,,400.159620573903,522.6952073734047,542.6958251991856,466.76305071033175,514.5235213133975,465.4219374098362,480.1515653352289,564.0221789866188,556.7848446934772,523.0440871785955,579.6704281715563,558.5208849318147,571.1779883163206,485.06351407995635,615.3984441989492,501.4362683969258,502.736113473363,508.6449637109099,525.5782312615539
lag 11,,432.4382526266003,527.2766028534712,472.87636031369556,459.61316151304675,455.6822158184781,452.4614975662897,486.4422464072146,549.7926301024454,544.1224282352697,515.0294149749029,455.2267860526229,514.2941930328401,531.0136765310345,436.734475211897,538.6529542063854,595.1440894810959,516.2662044255718,491.3553389335998,507.07292151349503
lag 12,,415.2078183156545,597.0887645737873,526.5321180905192,513.2862594818932,577.6509558098763,463.4771618399799,559.5894296341231,502.1416850468174,531.5623004786655,522.6072024847838,513.4510139814735,500.00155548664395,536.5555734460783,503.4451491780905,444.71357736399153,536.1041361379574,467.48037660534783,513.3023736368931,494.63202271487194
lag 13,,,612.2871699346243,469.5976668221734,486.072194900144,556.2439958203674,488.77547731941985,487.2451416429514,541.9297826614451,482.03127403601974,501.3842103579991,499.55442558533457,497.2075813151887,519.3188507505316,531.9505442410659,550.8323092681735,499.953898865062,508.2774619390925,569.2579157729053,453.5131115839066
lag 14,,,489.88485529669686,501.99116429286363,505.04165199007633,594.1115589993346,473.3319886052765,464.4573439359839,530.8291312176942,443.93882684180085,495.1857046306761,479.52990455311965,519.2032143296497,492.35062221420026,556.7341651614682,449.3023436110297,541.7316099236789,532.6606406838764,496.7374815717262,516.7436838524713
lag 15,,,,501.0526622013535,469.73959008485116,522.9253819574412,538.8265175993017,523.9327197430846,474.1905190432771,559.1367065248352,567.4780968318673,520.2151043122125,515.242625994748,514.3452983685603,436.3738426754324,474.0028021151845,539.775356569561,509.9609208275062,525.742849455071,459.7744128840426
lag 16,,,,,518.479095715691,575.0184144489662,475.2197201821665,581.4765745377186,508.8894382802575,539.07327492101,555.7954233721126,469.03425953130153,519.8842710170544,554.9548158609776,458.1968571729057,516.956595648263,509.521038900419,503.3537561471547,546.6288142688287,544.7345422495607
lag 17,,,,,503.7582751507449,526.3095958452755,598.8319377004198,527.6298616189193,535.4597597763374,471.32904471319625,550.5506525290006,467.8242795656595,626.6538744217153,480.3338945601562,561.0384616646631,506.4156947240686,562.6395345949619,502.174131733325,497.8224278167051,497.09133938702223
lag 18,,,,,,628.3768618064821,558.7281578334699,552.40742833755,505.33974408534687,505.65735469402847,492.76339181135,447.5864627397,494.0672646244751,523.0807603216075,502.3701857800338,477.73455859048295,580.8199810010568,449.2208389831886,516.4750592029166,516.3548481440745
lag 19,,,,,,,519.652271607195,503.00323052422465,497.756015993808,509.10731585116076,484.22627879034263,469.4624185043208,381.8695926142671,568.1362866907621,476.65740586510253,480.0080766322355,520.8040015549021,531.7545068373059,531.7627480858021,521.5210556272654
